Removed Pin From Net: NetName=PC14 Pin=Y1-4
Change component parameters: Designator = "U2" ("U2"); Footprint = "SOT23-5L"; UniqueID = "\IRCXNAOD" ("\IRCXNAOD")
Change component parameters (AddParameter): Name = "ICA_MFR_NAME"; Value = "RICHTEK"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ICA_PARTNUM"; Value = "$$2191094$$RT9193-15CU5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "TMP-13"; VariantName = "[No Variations]"
Change component parameters: Designator = "P1" ("P1"); Footprint = "HDR-3X2"; UniqueID = "\WVCOUABW" ("\WVCOUABW")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "P2" ("P2"); Footprint = "HDR-1X4_H"; UniqueID = "\SDLSYIRJ" ("\SDLSYIRJ")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "P3" ("P3"); Footprint = "HDR1X20"; UniqueID = "\FKTYTLNK" ("\FKTYTLNK")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "P4" ("P4"); Footprint = "HDR1X20"; UniqueID = "\JBAEPXUO" ("\JBAEPXUO")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "R1" ("R1"); Footprint = "R 0603"; UniqueID = "\TKYUUENF" ("\TKYUUENF")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "R2" ("R2"); Footprint = "R 0603"; UniqueID = "\NULUSFBQ" ("\NULUSFBQ")
